"New Loan? (Y=1, N=0)",Year of Data,Country,Type of Organization,Year founded,Product financed by Root Capital ,Number of suppliers,"Number of suppliers (with 5,000 member cap)",Country daily minimum wage,Total revenue (US$),Total revenue (US$) - adjusted,Volume of sales (lbs),"Fixed assets (property, plant & eqpmt (PPE)) (US$)",Total assets (US$),Total equity (US$),Total sales of product financed (US$),Export sales for product financed (US$),Export volume for product financed (lbs),% Export sales sold as certified Fairtrade,Amount of RC working capital loan (US$) approved,Amount of RC working capital loan (US$) disbursed,Total working capital debt (US$),Financing from commercial banks? (Y/N),Purchases from rural producers (US$),Purchases from rural producers (US$) - adjusted,Volume purchased from rural producers (lb),Average local price per pound at farmgate  (US$),Average price per pound paid by enterprise to rural producers (US$),Fair Trade certification? (Y/N),Utz Kapeh certification? (Y/N),Total acreage under cultivation (1 hectare = 2.4711 acres) - adjusted,Total acreage under organic cultivation,Total number of farmers certified organic,Total carbon sequestered (lbs),Purchases/Suppliers,Acreage/Suppliers,price/farmgate price
1,2008,3,2,2007,Coffee,835,835,0.3,14641,14641,15587,12855,14176,13795,13249,13249,15587,0,40000,40000,40000,0,8352,8352,15549.22,,0.54,0,0,1544.44,0,0,0,10.00239521,1.849625749,
1,2008,3,3,2007,Coffee,350,350,1.51,0,,,28318,28743,28743,,,,0,38000,38000,0,0,27857,27857,,,,0,0,864.89,0,0,0,79.59142857,2.4711,
0,2008,2,1,1997,Coffee,85,85,22.09,443501,443501,330000,106309,225440,191928,499048,499048,330000,1,160000,100000,433368,1,355032,355032,247500,1.5,1.43,1,0,1482.66,328.66,44,1206168.62,4176.847059,17.44305882,0.956315152
1,2008,1,3,2004,Coffee,3100,3100,4.51,1223877,1223877,619100,80092,588426,333403,939070,854172,561400,0,350000,274000,526543,1,943500,943500,422100,1.1,2.24,0,0,11490.62,1761.89,475,6466152.08,304.3548387,3.70665,2.032047554
0,2008,2,2,1998,Coffee,4774,4774,11.01,3975382,3975382,4865300,2986751,8143127,3789093,7108338,5848338,3965300,0.94,750000,350000,4130000,1,3384509,3384509,9575400,,0.35,1,1,12355.5,123.56,75,453446.85,708.9461667,2.588081274,
0,2008,0,1,1990,Coffee,960,960,11.71,3613523,3613523,2130600,126886,709236,405626,3563903,3563903,2130600,0.58,1000000,1444000,1444000,0,3186947,3186947,2926860,,1.09,1,0,5648.93,4040.25,584,14827712,3319.736458,5.884306875,
0,2008,2,1,1961,Coffee,502,502,10.84,16125288,16125288,9584900,3416679,7168298,2576311,13213391,11158292,7866500,0,1500000,1090000,6290000,1,14488004,14488004,9584900,1.24,1.51,0,1,7151.36,0,0,0,28860.56574,14.24574382,1.218987594
0,2008,2,4,1999,Coffee,,130,36.34,5251851,,,998,2928609,532054,5249451,5249451,,,450000,298086.23,,,4653291,0,,,,1,0,321.24,,,,,,
0,2008,2,1,2000,Coffee,90,90,22.25,884568,884568,862200,191053,565986,198218,887380,887380,862200,0,550000,325000,507000,1,817143,817143,1419300,,0.58,1,1,1910.16,916.78,47,3364575.63,9079.366667,21.22400333,
0,2008,0,2,2001,Coffee,5783,5000,11.71,18050770,15606752.55,11831400,2634045,9887616,2019441,17390866,17390866,11831400,0.46,1500000,1500000,11900000,1,17206711,14876976.48,,1.15,,1,1,22890.68,,,0,2975.395297,3.958271528,
0,2008,2,2,1997,Coffee,640,640,6.03,1585660,1585660,684500,147642,1093067,527425,1147903,1147903,684500,0.71,456300,458308,458308,0,1243850,1243850,,,,1,0,2545.23,2157.27,,7917182,1943.515625,3.976926563,
0,2008,2,2,1998,Coffee,1150,1150,12.76,1607940,1607940,944391.96,91046,1802996,149300,1404361,1404361,944391.96,0,150000,150000,510000,1,1126661,1126661,1244867.69,1.44,0.91,1,0,3125.94,2006.53,563,7363976.84,979.7052174,2.71821,0.628503318
0,2008,0,1,2001,Coffee,640,640,11.71,2114898,2114898,1138600,185553,1073908,295399,1944369,1892319,1069200,0.91,350000,200000,600000,0,1279668,1279668,1347700,1,0.95,1,0,3074.05,1927.46,420,7073770.86,1999.48125,4.803200625,0.949519923
1,2008,0,1,2006,Coffee,376,376,11.92,777224,777224,668100,2217,12771,12701,777224,777224,668100,0,175000,40000,40000,0,769947,769947,,1.4,,0,0,4124.27,4124.27,376,15136055.85,2047.731383,10.96879229,
0,2008,0,1,1981,Coffee,101,101,11.71,195572,195572,165000,1047,70224,17839,253643,253643,165000,1,100000,77000,158000,0,223205,223205,196400,1.1,1.14,1,0,523.87,523.87,101,1922614.64,2209.950495,5.186863366,1.033165155
1,2008,2,1,1996,Coffee,327,327,6.03,3310937,3310937,2039800,86033,765732,393886,2695985,2695985,2039800,1,849780,435620,1694032,0,3080930,3080930,2039750,1.24,1.51,1,0,2522.99,0,0,0,9421.804281,7.715575229,1.218100732
0,2008,2,2,2000,Coffee,1580,1580,14.67,2161533,2161533,1402800,34754,1254800,134783,2644225,2436987,1242800,0.67,600000,637000,1777155,0,1933689,1933689,,1.03,,1,0,8797.12,6667.03,1278,24467992.03,1223.853797,5.567794937,
1,2008,2,2,1970,Coffee,676,676,12.76,1190472,1190472,1861866.47,144512,478674,359529,2183354,1208354,873372.47,1,140000,193000,193000,0,2015179,2015179,2037818.4,1.52,0.99,1,0,2280.83,182.86,64,671101.34,2981.034024,3.374001923,0.650585772
0,2008,0,1,1968,Coffee,337,337,11.71,1691455,1691455,915000,672942,1037560,334478,1506379,1506379,915000,1,500000,270000,770000,0,1303295,1303295,1133300,1.25,1.15,1,0,2624.31,2268.47,290,8325284.17,3867.344214,7.787264688,0.92
1,2008,0,1,2006,Coffee,407,407,11.71,588463,588463,401700,0,1250,1208,577623,577623,401700,0,80000,73800,93800,0,519861,519861,478200,1.23,1.09,0,1,2915.9,2784.93,407,10220692,1277.299754,7.16436855,0.883837766
1,2007,3,1,2000,Coffee,1446,1446,2.41,273460,273460,,175510,261560,218982,270821,,,0,0,0,28800,,214859,214859,1020158.34,,0.21,0,0,499.16,0,0,0,148.5885201,0.345202075,
0,2008,1,3,1996,Coffee,6485,5000,4.51,4146604,3197073.25,4948200,1496517,3535228,1124388,6735615,6136638,4375400,0,400000,200000,2591026,1,5703750,4397648.42,4875000,1.06,1.17,0,0,20107.93,15906.47,2820,58376747.47,879.5296839,3.100683613,1.103773585
0,2008,3,2,1998,Coffee,6000,6000,0.3,2124289,2124289,1367178.67,314183,660921,312195,2236095,1988127,1095277.8,0.16,650000,590000,590000,0,1262223,1262223,,,,1,0,12600.14,,,0,210.3705,2.10002315,
0,2008,1,2,2005,Coffee,383,383,4.52,715000,715000,495800,726801,907410,781109,659370,589930,396600,0,306000,120000,120000,0,473104,473104,647300,1.05,0.73,0,0,2554.08,1820.34,258,6680632.44,1235.258486,6.668614982,0.6960841
1,2008,0,1,2006,Coffee,128,128,11.71,385372,385372,272000,40314,113841,6909,392675,318125,212700,0,180000,135000,185000,0,276921,276921,,,,1,0,939.02,830.29,111,3047162.83,2163.445313,7.336078125,
0,2008,1,2,2003,Coffee,1115,1115,4.52,1521998,1521998,1500700,137902,268004,268004,1904827,772024,503200,0,208000,208000,208000,0,1232858,1232858,1500700,1.36,0.82,0,0,7477.55,6563.24,1115,24087096.67,1105.702242,6.706321614,0.604060262
0,2008,3,5,2004,Coffee,1175,1175,1.51,472353,472353,354764.66,135643,237855,141725,473873,462387,334183.7,0,411000,411000,411000,1,261305,261305,,,,0,0,1450.04,0,0,0,222.387234,1.234077855,
0,2008,3,6,2002,Coffee,10794,10794,4.62,4761904,4761904,2317589.75,66609,1149664,217128,3414098,3414098,2317589.75,1,1675000,1035000,2835000,1,3418783,3418783,6000000,,0.57,1,0,29653.2,0,0,0,316.7299426,2.747192885,
0,2008,3,5,2005,Coffee,6000,3038,1.51,2093739,1744783,1612000,173934,240497,32203,2093739,,,0,200000,200000,645000,1,40781,33984.18,35264,,1.16,0,0,7291.2,0,0,0,6.796833333,1.2152,
1,2008,3,5,2009,Coffee,,,1.51,0,,28675,114274,152868,49483,53695,53695,28675,0,126000,47500,113846,1,,33250,,,,0,0,778.05,0,0,0,,,
0,2008,0,1,1996,Coffee,1200,1200,11.71,9699672,9699672,6273400,2331162,7278791,3693562,9681562,7473166,4673900,0.92,1200000,1900000,2950000,1,7917467,7917467,5583000,,1.42,1,0,33792.29,27221.64,627,99903409.99,6597.889167,28.16024375,
0,2008,1,2,1982,Coffee,1988,1988,4.52,4550067,4550067,3803700,2437132,5010890,2609244,5167506,3647257,2430700,0.92,1550000,1550000,2817770,0,4354686.3,4354686.3,3589500,1.12,1.21,1,0,9666.94,1373.93,172,5042328.97,2190.486066,4.862647485,1.08319063
